campaign_id,user_id,campaign_date,campaign_name,channel,impressions,clicks,spend,conversion
CAMP00000001,100001,2025-07-13,SEO_Brand,Organic Search,1319,111,3.85,9
CAMP00000002,100002,2022-07-25,SEO_Content,Organic Search,3348,252,8.69,15
CAMP00000003,100003,2022-02-02,SEO_Brand,Organic Search,18890,980,96.78,116
CAMP00000004,100004,2026-02-09,Facebook_LeadGen,Facebook Ads,712,26,17.69,1
CAMP00000005,100005,2023-07-10,Email_Welcome,Email,1963,476,4.33,57
CAMP00000006,100006,2023-04-20,Google_Display,Google Ads,9167,644,1102.26,53
CAMP00000007,100007,2023-03-05,Google_Display,Google Ads,3082,177,327.71,15
CAMP00000008,100008,2022-09-16,SEO_Product,Organic Search,19418,1000,193.22,66
CAMP00000009,100009,2026-02-15,Instagram_Reels,Instagram,3809,93,81.43,4
CAMP00000010,100010,2022-07-24,Google_Display,Google Ads,12141,491,1174.63,27
CAMP00000011,100011,2025-09-27,Instagram_Reels,Instagram,6107,173,103.23,6
CAMP00000012,100012,2026-02-17,Facebook_Retargeting,Facebook Ads,18750,404,400.56,15
CAMP00000013,100013,2025-01-20,LinkedIn_B2B,LinkedIn,1551,66,109.92,6
CAMP00000014,100014,2022-05-30,LinkedIn_SaaS,LinkedIn,10811,242,898.23,24
CAMP00000015,100015,2025-04-04,SEO_Product,Organic Search,5181,289,30.73,23
CAMP00000016,100016,2024-04-26,Facebook_LeadGen,Facebook Ads,19621,529,633.63,18
CAMP00000017,100017,2022-02-19,Facebook_LeadGen,Facebook Ads,3478,131,57.32,8
CAMP00000018,100018,2022-02-26,Google_Remarketing,Google Ads,14333,857,1553.75,54
CAMP00000019,100019,2022-06-27,Google_Remarketing,Google Ads,8738,686,562.19,62
CAMP00000020,100020,2023-03-01,Referral_Program,Referral,1446,400,85.77,85
CAMP00000021,100021,2023-04-13,SEO_Product,Organic Search,5682,381,58.64,55
CAMP00000022,100022,2024-10-15,SEO_Brand,Organic Search,17135,1623,155.29,224
CAMP00000023,100023,2025-04-28,Instagram_Reels,Instagram,5508,134,129.33,4
CAMP00000024,100024,2022-01-26,SEO_Content,Organic Search,518,39,1.67,4
CAMP00000025,100025,2025-01-28,Referral_Invite,Referral,540,60,10.72,13
CAMP00000026,100026,2023-01-28,SEO_Brand,Organic Search,17955,1543,191.92,110
CAMP00000027,100027,2025-12-29,LinkedIn_SaaS,LinkedIn,14365,700,2371.71,94
CAMP00000028,100028,2025-08-01,Instagram_Reels,Instagram,10714,267,141.53,14
CAMP00000029,100029,2025-11-09,LinkedIn_SaaS,LinkedIn,15294,294,689.49,22
CAMP00000030,100030,2025-01-03,Instagram_Influencer,Instagram,8040,238,185.85,6
