subscription_id,user_id,plan_type,start_date,end_date,monthly_price,subscription_status,renewal_status
SUB00000001,100001,Free,2025-08-02,2025-09-02,0,Ended,Renewed
SUB00000002,100001,Free,2025-09-03,2026-03-03,0,Active,Renewed
SUB00000003,100002,Free,2022-08-17,2023-07-17,0,Ended,Renewed
SUB00000004,100002,Free,2023-07-18,2024-04-18,0,Ended,Renewed
SUB00000005,100002,Basic,2024-04-19,2024-07-19,19,Active,Renewed
SUB00000006,100003,Free,2022-02-21,2022-11-21,0,Cancelled,Cancelled
SUB00000007,100004,Enterprise,2026-02-27,2026-06-27,149,Ended,Renewed
SUB00000008,100004,Enterprise,2026-06-28,2026-08-31,149,Active,Pending
SUB00000009,100005,Free,2023-07-18,2023-08-18,0,Ended,Renewed
SUB00000010,100005,Free,2023-08-19,2023-11-19,0,Ended,Renewed
SUB00000011,100005,Free,2023-11-20,2024-07-20,0,Active,Renewed
SUB00000012,100006,Free,2023-05-17,2024-01-17,0,Active,Renewed
SUB00000013,100007,Free,2023-04-03,2023-10-03,0,Ended,Renewed
SUB00000014,100007,Free,2023-10-04,2024-01-04,0,Active,Renewed
SUB00000015,100008,Free,2022-10-13,2023-05-13,0,Ended,Renewed
SUB00000016,100008,Basic,2023-05-14,2024-05-14,19,Active,Renewed
SUB00000017,100009,Free,2026-02-17,2026-06-17,0,Cancelled,Cancelled
SUB00000018,100010,Free,2022-07-29,2023-01-29,0,Active,Renewed
SUB00000019,100011,Basic,2025-10-17,2026-02-17,19,Ended,Renewed
SUB00000020,100011,Basic,2026-02-18,2026-08-31,19,Ended,Renewed
SUB00000021,100012,Pro,2026-02-25,2026-08-25,49,Expired,Not Renewed
SUB00000022,100013,Free,2025-01-21,2025-12-21,0,Ended,Renewed
SUB00000023,100013,Free,2025-12-22,2026-04-22,0,Active,Renewed
SUB00000024,100014,Free,2022-06-28,2022-12-28,0,Active,Renewed
SUB00000025,100015,Free,2025-04-24,2026-03-24,0,Ended,Renewed
SUB00000026,100015,Free,2026-03-25,2026-07-25,0,Ended,Renewed
SUB00000027,100015,Free,2026-07-26,2026-08-26,0,Ended,Renewed
SUB00000028,100015,Free,2026-08-27,2026-08-31,0,Active,Pending
SUB00000029,100016,Basic,2024-05-14,2024-12-14,19,Ended,Renewed
SUB00000030,100016,Basic,2024-12-15,2025-04-15,19,Expired,Not Renewed
SUB00000031,100017,Free,2022-03-07,2023-03-07,0,Ended,Renewed
SUB00000032,100017,Free,2023-03-08,2024-01-08,0,Active,Renewed
SUB00000033,100018,Free,2022-03-03,2022-11-03,0,Ended,Renewed
SUB00000034,100018,Basic,2022-11-04,2023-11-04,19,Ended,Renewed
SUB00000035,100018,Basic,2023-11-05,2024-04-05,19,Ended,Renewed
SUB00000036,100018,Basic,2024-04-06,2025-01-06,19,Active,Renewed
SUB00000037,100019,Free,2022-07-11,2022-11-11,0,Ended,Renewed
SUB00000038,100019,Free,2022-11-12,2023-04-12,0,Active,Renewed
SUB00000039,100020,Free,2023-03-24,2023-06-24,0,Active,Renewed
SUB00000040,100021,Basic,2023-04-22,2023-09-22,19,Active,Renewed
SUB00000041,100022,Free,2024-10-31,2024-12-31,0,Ended,Renewed
SUB00000042,100022,Free,2025-01-01,2026-01-01,0,Active,Renewed
SUB00000043,100023,Free,2025-05-17,2026-02-17,0,Ended,Renewed
SUB00000044,100023,Free,2026-02-18,2026-05-18,0,Active,Renewed
SUB00000045,100024,Free,2022-02-24,2023-01-24,0,Active,Renewed
SUB00000046,100025,Pro,2025-02-23,2025-08-23,49,Ended,Renewed
SUB00000047,100025,Pro,2025-08-24,2026-03-24,49,Ended,Renewed
SUB00000048,100025,Pro,2026-03-25,2026-06-25,49,Active,Renewed
SUB00000049,100026,Basic,2023-02-12,2023-07-12,19,Ended,Renewed
SUB00000050,100026,Basic,2023-07-13,2023-10-13,19,Expired,Not Renewed
SUB00000051,100027,Free,2026-01-06,2026-08-31,0,Cancelled,Cancelled
SUB00000052,100028,Free,2025-08-23,2026-07-23,0,Active,Renewed
SUB00000053,100029,Free,2025-12-07,2026-03-07,0,Cancelled,Cancelled
SUB00000054,100030,Free,2025-01-21,2025-10-21,0,Ended,Renewed
SUB00000055,100030,Free,2025-10-22,2026-08-22,0,Ended,Renewed
SUB00000056,100030,Free,2026-08-23,2026-08-31,0,Active,Pending
SUB00000057,100031,Free,2024-05-09,2025-01-09,0,Active,Renewed
SUB00000058,100032,Free,2023-03-28,2023-08-28,0,Ended,Renewed
SUB00000059,100032,Free,2023-08-29,2023-12-29,0,Ended,Renewed
SUB00000060,100032,Free,2023-12-30,2024-04-30,0,Active,Renewed
SUB00000061,100033,Free,2024-07-08,2025-06-08,0,Active,Renewed
SUB00000062,100034,Free,2025-04-21,2026-02-21,0,Active,Renewed
SUB00000063,100035,Basic,2023-07-24,2024-06-24,19,Active,Renewed
SUB00000064,100036,Free,2026-07-16,2026-08-31,0,Ended,Renewed
SUB00000065,100037,Free,2022-01-14,2023-01-14,0,Ended,Renewed
SUB00000066,100037,Free,2023-01-15,2023-06-15,0,Expired,Not Renewed
SUB00000067,100038,Free,2026-04-04,2026-08-31,0,Ended,Renewed
SUB00000068,100039,Free,2026-07-09,2026-08-31,0,Ended,Renewed
SUB00000069,100040,Free,2022-11-23,2023-03-23,0,Ended,Renewed
SUB00000070,100040,Free,2023-03-24,2023-11-24,0,Active,Renewed
SUB00000071,100041,Free,2025-11-30,2025-12-30,0,Ended,Renewed
SUB00000072,100041,Basic,2025-12-31,2026-06-30,19,Active,Renewed
SUB00000073,100042,Free,2024-05-15,2025-04-15,0,Active,Renewed
SUB00000074,100043,Basic,2023-11-28,2024-03-28,19,Ended,Renewed
SUB00000075,100043,Basic,2024-03-29,2025-03-29,19,Active,Renewed
SUB00000076,100044,Free,2023-07-24,2024-03-24,0,Expired,Not Renewed
SUB00000077,100045,Basic,2022-11-15,2023-01-15,19,Expired,Not Renewed
SUB00000078,100046,Free,2023-03-17,2023-10-17,0,Ended,Renewed
SUB00000079,100046,Free,2023-10-18,2024-01-18,0,Active,Renewed
SUB00000080,100047,Free,2026-04-13,2026-06-13,0,Ended,Renewed
SUB00000081,100047,Basic,2026-06-14,2026-08-14,19,Ended,Renewed
SUB00000082,100047,Basic,2026-08-15,2026-08-31,19,Ended,Renewed
SUB00000083,100048,Free,2023-11-21,2024-02-21,0,Ended,Renewed
SUB00000084,100048,Free,2024-02-22,2024-09-22,0,Active,Renewed
SUB00000085,100049,Free,2022-07-29,2022-09-29,0,Ended,Renewed
SUB00000086,100049,Free,2022-09-30,2023-06-30,0,Ended,Renewed
SUB00000087,100049,Basic,2023-07-01,2024-06-01,19,Active,Renewed
SUB00000088,100050,Free,2022-07-09,2022-11-09,0,Ended,Renewed
SUB00000089,100050,Basic,2022-11-10,2023-03-10,19,Ended,Renewed
SUB00000090,100050,Basic,2023-03-11,2023-04-11,19,Ended,Renewed
SUB00000091,100050,Free,2023-04-12,2024-01-12,0,Active,Renewed
SUB00000092,100051,Pro,2024-02-18,2024-10-18,49,Ended,Renewed
SUB00000093,100051,Pro,2024-10-19,2025-06-19,49,Expired,Not Renewed
SUB00000094,100052,Free,2022-07-18,2022-10-18,0,Active,Renewed
