user_id,signup_date,country,age_group,gender,acquisition_channel,device_type,initial_plan,account_status
100001,2025-08-02,India,35-44,Male,Organic Search,Desktop,Free,Active
100002,2022-08-17,UAE,25-34,Male,Organic Search,Mobile,Free,Active
100003,2022-02-21,Canada,25-34,Male,Organic Search,Mobile,Free,Churned
100004,2026-02-27,USA,25-34,Male,Facebook Ads,Desktop,Enterprise,Active
100005,2023-07-18,India,25-34,Male,Email,Desktop,Free,Active
100006,2023-05-17,India,35-44,Male,Google Ads,Mobile,Free,Active
100007,2023-04-03,India,45-54,Male,Google Ads,Mobile,Free,Active
100008,2022-10-13,Germany,35-44,Female,Organic Search,Desktop,Free,Active
100009,2026-02-17,UK,25-34,Male,Instagram,Desktop,Free,Churned
100010,2022-07-29,Canada,25-34,Male,Google Ads,Tablet,Free,Active
100011,2025-10-17,India,18-24,Male,Instagram,Tablet,Basic,Active
100012,2026-02-25,UAE,45-54,Male,Facebook Ads,Mobile,Pro,Inactive
100013,2025-01-21,Germany,25-34,Male,LinkedIn,Desktop,Free,Active
100014,2022-06-28,India,25-34,Male,LinkedIn,Tablet,Free,Active
100015,2025-04-24,India,18-24,Male,Organic Search,Mobile,Free,Active
100016,2024-05-14,India,35-44,Male,Facebook Ads,Desktop,Basic,Inactive
100017,2022-03-07,India,25-34,Female,Facebook Ads,Mobile,Free,Active
100018,2022-03-03,USA,25-34,Female,Google Ads,Desktop,Free,Active
100019,2022-07-11,USA,25-34,Male,Google Ads,Desktop,Free,Active
100020,2023-03-24,India,18-24,Male,Referral,Mobile,Free,Active
100021,2023-04-22,UK,35-44,Female,Organic Search,Mobile,Basic,Active
100022,2024-10-31,India,25-34,Male,Organic Search,Mobile,Free,Active
100023,2025-05-17,India,35-44,Female,Instagram,Desktop,Free,Active
100024,2022-02-24,India,45-54,Male,Organic Search,Mobile,Free,Active
100025,2025-02-23,USA,18-24,Male,Referral,Desktop,Pro,Active
100026,2023-02-12,Australia,25-34,Male,Organic Search,Desktop,Basic,Inactive
100027,2026-01-06,India,18-24,Female,LinkedIn,Desktop,Free,Churned
100028,2025-08-23,USA,45-54,Male,Instagram,Desktop,Free,Active
100029,2025-12-07,USA,25-34,Male,LinkedIn,Mobile,Free,Churned
100030,2025-01-21,India,25-34,Male,Instagram,Tablet,Free,Active
100031,2024-05-09,UK,35-44,Male,Organic Search,Mobile,Free,Active
100032,2023-03-28,India,25-34,Male,Google Ads,Mobile,Free,Active
100033,2024-07-08,India,35-44,Female,Organic Search,Desktop,Free,Active
100034,2025-04-21,UAE,35-44,Male,Instagram,Desktop,Free,Active
100035,2023-07-24,UAE,55+,Male,Organic Search,Tablet,Basic,Active
